trade_date,stock_id,leader_id,sector_id,score_sector,score_leader,score_follow,score_total,suggest_entry,suggest_stop,position_value,shares,lots_1000,stock_name,market,themes
2025-12-26,4916,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.14497951979433438,0.9939649384802567,59.2,,,,,事欣科,TWSE,UNKNOWN
2025-12-26,6189,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.14379812077845028,0.9934923788739031,44.9,,,,,豐藝,TWSE,UNKNOWN
2025-12-26,00675L,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.1338007963701548,0.9894934491105849,140.8,,,,,富邦臺灣加權正2,TWSE,UNKNOWN
2025-12-26,3532,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.13244490791601346,0.9889510937289283,93.7,,,,,台勝科,TWSE,UNKNOWN
2025-12-26,6923,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.13206060105131043,0.9887973709830471,97.9,,,,,中台,TWSE,UNKNOWN
2025-12-26,4526,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.1302270173227629,0.9880639374916281,30.65,,,,,東台,TWSE,UNKNOWN
2025-12-26,6197,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.1299795109961785,0.9879649349609944,138.5,,,,,佳必琪,TWSE,UNKNOWN
2025-12-26,1603,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.1288891012078426,0.98752877104566,37.8,,,,,華電,TWSE,UNKNOWN
2025-12-26,7788,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.12658555919469053,0.9866073542403991,133.5,,,,,松川精密,TWSE,UNKNOWN
2025-12-26,4904,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.11957890374809964,0.9838046920617628,88.6,,,,,遠傳,TWSE,UNKNOWN
2025-12-26,2436,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.11722021612595247,0.982861217012904,48.5,,,,,偉詮電,TWSE,UNKNOWN
2025-12-26,3447,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.11241704093288549,0.9809399469356772,52.5,,,,,展達,TWSE,UNKNOWN
2025-12-26,2609,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.11194800381110406,0.9807523320869646,56.1,,,,,陽明,TWSE,UNKNOWN
2025-12-26,1723,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.10753847094264417,0.9789885189395806,67.1,,,,,中碳,TWSE,UNKNOWN
2025-12-26,2201,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.10752178016702156,0.9789818426293316,34.15,,,,,裕隆,TWSE,UNKNOWN
2025-12-26,6177,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.10694167524630978,0.9787498006610469,53.3,,,,,達麗,TWSE,UNKNOWN
2025-12-26,9955,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.1054846651759015,0.9781669966328835,31.55,,,,,佳龍,TWSE,UNKNOWN
2025-12-26,2607,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.10440203514890742,0.977733944622086,58.8,,,,,榮運,TWSE,UNKNOWN
2025-12-26,6799,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.10362492887877506,0.9774231021140329,81.9,,,,,來頡,TWSE,UNKNOWN
2025-12-26,00830,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.10148608277020196,0.9765675636706037,58.85,,,,,國泰費城半導體,TWSE,UNKNOWN
2025-12-26,5243,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.10147344996797117,0.9765625105497114,79.6,,,,,乙盛-KY,TWSE,UNKNOWN
2025-12-26,4961,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.10054956272006116,0.9761929556505474,142.5,,,,,天鈺,TWSE,UNKNOWN
2025-12-26,2393,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.09801311234301271,0.9751783754997281,53.7,,,,,億光,TWSE,UNKNOWN
2025-12-26,3048,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.09493693329791764,0.9739479038816901,41.6,,,,,益登,TWSE,UNKNOWN
2025-12-26,00693U,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.09099496821736483,0.972371117849469,20.63,,,,,期街口S&P黃豆,TWSE,UNKNOWN
2025-12-26,1786,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.09045525067336173,0.9721552308318676,73.4,,,,,科妍,TWSE,UNKNOWN
2025-12-26,2362,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.08831268214454974,0.9712982034203429,39.4,,,,,藍天,TWSE,UNKNOWN
2025-12-26,2027,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.08566073472520236,0.9702374244526039,35.35,,,,,大成鋼,TWSE,UNKNOWN
2025-12-26,4764,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.08518320168869892,0.9700464112380025,117.5,,,,,雙鍵,TWSE,UNKNOWN
2025-12-26,3010,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.08325820761087938,0.9692764136068747,111.0,,,,,華立,TWSE,UNKNOWN
2025-12-26,2485,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.08240387054361767,0.96893467877997,28.2,,,,,兆赫,TWSE,UNKNOWN
2025-12-26,2429,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.08201720230037665,0.9687800114826737,77.2,,,,,銘旺科,TWSE,UNKNOWN
2025-12-26,6405,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.08164994209824074,0.9686331074018193,28.4,,,,,悅城,TWSE,UNKNOWN
2025-12-26,2402,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.07990255386109195,0.9679341521069598,63.8,,,,,毅嘉,TWSE,UNKNOWN
2025-12-26,2646,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.07562420298685027,0.9662228117572631,24.05,,,,,星宇航空,TWSE,UNKNOWN
2025-12-26,4976,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.07374103949157544,0.9654695463591532,29.55,,,,,佳凌,TWSE,UNKNOWN
2025-12-26,2466,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.07314947459715115,0.9652329204013834,68.9,,,,,冠西電,TWSE,UNKNOWN
2025-12-26,00894,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.07254498190520094,0.9649911233246034,27.18,,,,,中信小資高價30,TWSE,UNKNOWN
2025-12-26,00909,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.06563137066171579,0.9622256788272092,40.56,,,,,國泰數位支付服務,TWSE,UNKNOWN
2025-12-26,2377,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.06369449768097118,0.9614509296349114,96.2,,,,,微星,TWSE,UNKNOWN
2025-12-26,5388,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.06031512039154151,0.9600991787191395,80.1,,,,,中磊,TWSE,UNKNOWN
2025-12-26,6753,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.05919455077500309,0.9596509508725242,140.0,,,,,龍德造船,TWSE,UNKNOWN
2025-12-26,3025,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.056019712952309966,0.9583810157434469,66.9,,,,,星通,TWSE,UNKNOWN
2025-12-26,2880,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.054265290337607214,0.9576792466975659,32.35,,,,,華南金,TWSE,UNKNOWN
2025-12-26,2540,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.052187690918650054,0.956848206929983,52.7,,,,,愛山林,TWSE,UNKNOWN
2025-12-26,3645,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.04947916883113708,0.9557647980949778,52.7,,,,,達邁,TWSE,UNKNOWN
2025-12-26,4763,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.04424695798969034,0.9536719137583991,55.0,,,,,材料*-KY,TWSE,UNKNOWN
2025-12-26,9910,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.04040106475373652,0.9521335564640175,111.0,,,,,豐泰,TWSE,UNKNOWN
2025-12-26,3036,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.037674604559387155,0.9510429723862778,140.0,,,,,文曄,TWSE,UNKNOWN
2025-12-26,2478,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.035546587134081147,0.9501917654161555,56.4,,,,,大毅,TWSE,UNKNOWN
2025-12-26,2399,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.03552102425198335,0.9501815402633162,26.35,,,,,映泰,TWSE,UNKNOWN
2025-12-26,2882,6921,UNKNOWN,0.03144183939290973,3.699873947100018,0.03132259061597057,0.9485021668089112,74.8,,,,,國泰金,TWSE,UNKNOWN
